시작에들어가는가상글시작에들어가는가	시작에들어가는가상글시작에들어가는가/NNP
특정경제범죄가중처벌법상	특정경제범죄가중처벌법상/NNP
평창동계올림픽유치위원회	평창동계올림픽유치위원회/NNP
한국농업경영인중앙연합회	한국농업경영인중앙연합회/NNP
한국수출포장공업주식회사	한국수출포장공업주식회사/NNP
한국자원봉사센터협의회장	한국자원봉사센터협의회장/NNP
한국정보통신인력개발센터	한국정보통신인력개발센터/NNP
한국정신대문제대책위원회	한국정신대문제대책위원회/NNP
한국정신대문제대책협의회	한국정신대문제대책협의회/NNP
한편부산아시안게임조직위	한편부산아시안게임조직위/NNP
개인정보분쟁조정위원회	개인정보분쟁조정위원회/NNP
건강보험심의조정위원회	건강보험심의조정위원회/NNP
건물철거대집행계고처분	건물철거대집행계고처분/NNP
경기도청소년종합상담실	경기도청소년종합상담실/NNP
고용자설문조사프로그램	고용자설문조사프로그램/NNP
공적자금비리합동단속반	공적자금비리합동단속반/NNP
과학기술정보통신위원회	과학기술정보통신위원회/NNP
광주학생독립운동기념관	광주학생독립운동기념관/NNP
교수연구상업화프로그램	교수연구상업화프로그램/NNP
국가생명윤리심의위원회	국가생명윤리심의위원회/NNP
국가정보기반자문위원회	국가정보기반자문위원회/NNP
국립고속도로교통안전청	국립고속도로교통안전청/NNP
국립슈퍼컴퓨터응용센터	국립슈퍼컴퓨터응용센터/NNP
국민생활최저선확보운동	국민생활최저선확보운동/NNP
국민연금기금운용위원회	국민연금기금운용위원회/NNP
국민정신총동원조선연맹	국민정신총동원조선연맹/NNP
국선변호인선임결정통보	국선변호인선임결정통보/NNP
국제교회성장연구원총재	국제교회성장연구원총재/NNP
국제대인지뢰금지캠페인	국제대인지뢰금지캠페인/NNP
국제디지털아트페스티벌	국제디지털아트페스티벌/NNP
국제아동청소년연극협회	국제아동청소년연극협회/NNP
국제애니메이션페스티벌	국제애니메이션페스티벌/NNP
국제여자비치발리볼대회	국제여자비치발리볼대회/NNP
국제자유도시추진기획단	국제자유도시추진기획단/NNP
과학기술정보통신부장관	과학기술정보통신부장관/NNP
금융산업발전심의위원회	금융산업발전심의위원회/NNP
기독교대한하나님의성회	기독교대한하나님의성회/NNP
남북경제협력추진위원회	남북경제협력추진위원회/NNP
남한사회주의노동자동맹	남한사회주의노동자동맹/NNP
네바다라스베이거스대학	네바다라스베이거스대학/NNP
농어가사채대체자금대출	농어가사채대체자금대출/NNP
다임러크라이슬러코리아	다임러크라이슬러코리아/NNP
대구기독교청년의료인회	대구기독교청년의료인회/NNP
대구시립소년소녀합창단	대구시립소년소녀합창단/NNP
대통령경제수석비서관실	대통령경제수석비서관실/NNP
대한무역투자진흥공공사	대한무역투자진흥공공사/NNP
대한주택건설사업협회장	대한주택건설사업협회장/NNP
동아시아선수권축구대회	동아시아선수권축구대회/NNP
디지털노동문화복지센터	디지털노동문화복지센터/NNP
런던스쿨오브이코노믹스	런던스쿨오브이코노믹스/NNP
만경대혁명가유자녀학원	만경대혁명가유자녀학원/NNP
무면허의료행위처벌규정	무면허의료행위처벌규정/NNP
민족자주통일중앙협의회	민족자주통일중앙협의회/NNP
민족화해자주통일협의회	민족화해자주통일협의회/NNP
버스운송사업조합연합회	버스운송사업조합연합회/NNP
봅호프크라이슬러클래식	봅호프크라이슬러클래식/NNP
부산부일외국어고등학교	부산부일외국어고등학교/NNP
부천국제판타스틱영화제	부천국제판타스틱영화제/NNP
불교조계종사회복지재단	불교조계종사회복지재단/NNP
사우스차이나모닝포스트	사우스차이나모닝포스트/NNP
사회복지관련전문가단체	사회복지관련전문가단체/NNP
생활개혁실천국민협의회	생활개혁실천국민협의회/NNP
서울국제컴퓨터문화축제	서울국제컴퓨터문화축제/NNP
서울대공원관리사업소장	서울대공원관리사업소장/NNP
서울대학교특별회계법안	서울대학교특별회계법안/NNP
서울동부지방노동사무소	서울동부지방노동사무소/NNP
서울동화일러스트레이션	서울동화일러스트레이션/NNP
서울무형문화재전수회관	서울무형문화재전수회관/NNP
서울민주청년단체협의회	서울민주청년단체협의회/NNP
서울지역노동조합협의회	서울지역노동조합협의회/NNP
서울지역신문노조협의회	서울지역신문노조협의회/NNP
세계대학유도선수권대회	세계대학유도선수권대회/NNP
세계쇼트트랙선수권대회	세계쇼트트랙선수권대회/NNP
세계아마바둑선수권대회	세계아마바둑선수권대회/NNP
세포유전자치료연구소장	세포유전자치료연구소장/NNP
소비에트사회주의공화국	소비에트사회주의공화국/NNP
소프트뱅크벤처스코리아	소프트뱅크벤처스코리아/NNP
속리산말티재자연휴양림	속리산말티재자연휴양림/NNP
수도권정비계획법시행령	수도권정비계획법시행령/NNP
수취인지정자금이체제도	수취인지정자금이체제도/NNP
스크린쿼터폐지반대운동	스크린쿼터폐지반대운동/NNP
슬로베니아민주야당연합	슬로베니아민주야당연합/NNP
시립청소년직업체험센터	시립청소년직업체험센터/NNP
시카고국제어린이영화제	시카고국제어린이영화제/NNP
신당창당추진준비위원장	신당창당추진준비위원장/NNP
신세대통신망실험협의회	신세대통신망실험협의회/NNP
아시아정치경제연구소장	아시아정치경제연구소장/NNP
아시아태평양경제협력체	아시아태평양경제협력체/NNP
아시아태평양선수권대회	아시아태평양선수권대회/NNP
아시아태평양평화위원회	아시아태평양평화위원회/NNP
아오모리동계아시안게임	아오모리동계아시안게임/NNP
앙굴렘국제만화페스티벌	앙굴렘국제만화페스티벌/NNP
언론자유수호투쟁위원회	언론자유수호투쟁위원회/NNP
에비앙마스터스골프클럽	에비앙마스터스골프클럽/NNP
여의도순복음교회당회장	여의도순복음교회당회장/NNP
여자기독교청년회연합회	여자기독교청년회연합회/NNP
오거스타내셔널골프클럽	오거스타내셔널골프클럽/NNP
오프토테크놀러지컴퍼니	오프토테크놀러지컴퍼니/NNP
외교안보연구원교수부장	외교안보연구원교수부장/NNP
외국민간원조기관연합회	외국민간원조기관연합회/NNP
우루과이라운드협상관련	우루과이라운드협상관련/NNP
우리사랑레포츠정기적금	우리사랑레포츠정기적금/NNP
울산지역환경보전협의회	울산지역환경보전협의회/NNP
원격하이터치교육시스템	원격하이터치교육시스템/NNP
원상복직서명추진위원회	원상복직서명추진위원회/NNP
웰치스프라이스챔피언십	웰치스프라이스챔피언십/NNP
유엔캄보디아과도행정부	유엔캄보디아과도행정부/NNP
이성헌청와대정무비서관	이성헌청와대정무비서관/NNP
인도주의실천의사협의회	인도주의실천의사협의회/NNP
인천지역민주노동자연맹	인천지역민주노동자연맹/NNP
자외선우주망원경연구단	자외선우주망원경연구단/NNP
장교인사제도개선위원회	장교인사제도개선위원회/NNP
재외동포청년과학기술자	재외동포청년과학기술자/NNP
재일조선인유학생학우회	재일조선인유학생학우회/NNP
전국노동운동단체협의회	전국노동운동단체협의회/NNP
전국농어민후계자협의회	전국농어민후계자협의회/NNP
전국대학생대표자협의회	전국대학생대표자협의회/NNP
전국민간환경단체협의회	전국민간환경단체협의회/NNP
전국신문통신노조협의회	전국신문통신노조협의회/NNP
전국자동차노동조합연맹	전국자동차노동조합연맹/NNP
전국청년운동단체협의회	전국청년운동단체협의회/NNP
전국한약관련학과협의회	전국한약관련학과협의회/NNP
전국한의대학부모협의회	전국한의대학부모협의회/NNP
전남동부지역사회연구소	전남동부지역사회연구소/NNP
전자문서관리시스템업체	전자문서관리시스템업체/NNP
정치부패근절대책위원회	정치부패근절대책위원회/NNP
정화개혁회의상임위원장	정화개혁회의상임위원장/NNP
조국통일학생추진위원장	조국통일학생추진위원장/NNG
조선무정부주의자총연맹	조선무정부주의자총연맹/NNP
조선문화건설중앙협의회	조선문화건설중앙협의회/NNP
조선민족해방운동자동맹	조선민족해방운동자동맹/NNP
조선민주주의인민공화국	조선민주주의인민공화국/NNP
조폐창파업유도의혹사건	조폐창파업유도의혹사건/NNP
종합유선방송추진위원회	종합유선방송추진위원회/NNP
주니어아이스하키대표팀	주니어아이스하키대표팀/NNP
주택저당채권유동화회사	주택저당채권유동화회사/NNG
주택저당채권담보부채권	주택저당채권담보부채권/NNG
중소기업연구개발촉진법	중소기업연구개발촉진법/NNP
중소기업협동조합중앙회	중소기업협동조합중앙회/NNP
중앙환경분쟁조정위원회	중앙환경분쟁조정위원회/NNP
지방연방은행경기보고서	지방연방은행경기보고서/NNP
천주교정의구현전국연합	천주교정의구현전국연합/NNP
초고속정보통신기반투자	초고속정보통신기반투자/NNP
초단기공사채형수익증권	초단기공사채형수익증권/NNP
카톨릭매스컴선교위원회	카톨릭매스컴선교위원회/NNP
커뮤니케이션전략연구소	커뮤니케이션전략연구소/NNP
컴퓨터프로그램표준조항	컴퓨터프로그램표준조항/NNG
코린아세틸트란스퍼라제	코린아세틸트란스퍼라제/NNG
태평양전쟁희생자유족회	태평양전쟁희생자유족회/NNP
택시운송사업조합연합회	택시운송사업조합연합회/NNP
특정경제범죄가중처벌법	특정경제범죄가중처벌법/NNP
특정범죄가중처벌법위반	특정범죄가중처벌법위반/NNP
특정보건용식품표시제도	특정보건용식품표시제도/NNP
품질표시기준품질인증제	품질표시기준품질인증제/NNP
한국가톨릭나사업연합회	한국가톨릭나사업연합회/NNP
한국경영생산성종합대상	한국경영생산성종합대상/NNP
한국공연예술진흥협의회	한국공연예술진흥협의회/NNP
한국광복운동단체연합회	한국광복운동단체연합회/NNP
한국근대문예비평사연구	한국근대문예비평사연구/NNP
한국근현대민족문학총서	한국근현대민족문학총서/NNP
한국기능미화중앙협의회	한국기능미화중앙협의회/NNP
한국노동교육원사무총장	한국노동교육원사무총장/NNP
한국농어민후계자연합회	한국농어민후계자연합회/NNP
한국능률협회매니지먼트	한국능률협회매니지먼트/NNP
한국대학도서출판협의회	한국대학도서출판협의회/NNP
한국디지털위성방송지부	한국디지털위성방송지부/NNP
한국문예학술저작권협회	한국문예학술저작권협회/NNP
한국문화산업진흥위원회	한국문화산업진흥위원회/NNP
한국민속종합조사보고서	한국민속종합조사보고서/NNP
한국민족문화대백과사전	한국민족문화대백과사전/NNP
한국바이오벤처기업협회	한국바이오벤처기업협회/NNP
한국방송영상산업진흥원	한국방송영상산업진흥원/NNP
한국방송프러듀서연합회	한국방송프러듀서연합회/NNP
한국소아정신건강클리닉	한국소아정신건강클리닉/NNP
한국소프트웨어산업협회	한국소프트웨어산업협회/NNP
한국신문방송편집인협회	한국신문방송편집인협회/NNP
한국아동도서출판협의회	한국아동도서출판협의회/NNP
한국아동복지시설연합회	한국아동복지시설연합회/NNP
한국양돈협동조합연합회	한국양돈협동조합연합회/NNP
한국양성평등교육진흥원	한국양성평등교육진흥원/NNP
한국여성경영자총연합회	한국여성경영자총연합회/NNP
한국여성노동자회협의회	한국여성노동자회협의회/NNP
한국여성정치문화연구소	한국여성정치문화연구소/NNP
한국예술가곡진흥위원회	한국예술가곡진흥위원회/NNP
한국자동차공업협동조합	한국자동차공업협동조합/NNP
한국자유민주수호협의회	한국자유민주수호협의회/NNP
한국장애인고용촉진공단	한국장애인고용촉진공단/NNP
한국전기안전공사이사장	한국전기안전공사이사장/NNP
한국정보통신기술사협회	한국정보통신기술사협회/NNP
한국한국가정법률상담소	한국한국가정법률상담소/NNP
한국환경사회정책연구소	한국환경사회정책연구소/NNP
한국환경정책평가연구원	한국환경정책평가연구원/NNP
COPYRIGHTS	COPYRIGHTS/NNG
가계금융실이태녕과장	가계금융실이태녕과장/NNP
가다우라가이운해운사	가다우라가이운해운사/NNP
가산불교문화연구소장	가산불교문화연구소장/NNG
가톨릭종교문화연구원	가톨릭종교문화연구원/NNP
강동구종합사회복지관	강동구종합사회복지관/NNP
강서청소년복지교민회	강서청소년복지교민회/NNP
거시경제연구센터소장	거시경제연구센터소장/NNP
건강보험심사평가원장	건강보험심사평가원장/NNP
경기도과천지구출장소	경기도과천지구출장소/NNP
경기지방중소기업청장	경기지방중소기업청장/NNP
경성공립고등보통학교	경성공립고등보통학교/NNP
경수로사업지원기획단	경수로사업지원기획단/NNP
경제정의실천시민연합	경제정의실천시민연합/NNP
계층별년간수지통계표	계층별년간수지통계표/NNP
고교교육개혁추진실장	고교교육개혁추진실장/NNG
공업생산성조사위원회	공업생산성조사위원회/NNP
공적장기요양보호제도	공적장기요양보호제도/NNP
관악여성인력개발센터	관악여성인력개발센터/NNP
광대역종합정보통신망	광대역종합정보통신망/NNP
광주여자기독교청년회	광주여자기독교청년회/NNP
구로지역사회발전센타	구로지역사회발전센타/NNP
국가과학기술자문회의	국가과학기술자문회의/NNP
국가교육정보화기획관	국가교육정보화기획관/NNP
국가재건국민운동본부	국가재건국민운동본부/NNP
국가전문행정연수원장	국가전문행정연수원장/NNP
국립공원관리공단공단	국립공원관리공단공단/NNP
국립부여문화재연구소	국립부여문화재연구소/NNP
국립생명공학정보센터	국립생명공학정보센터/NNP
국립중앙청소년수련원	국립중앙청소년수련원/NNP
국민건강보험관리공단	국민건강보험관리공단/NNP
국민기초생활보장제도	국민기초생활보장제도/NNP
국민의료보험관리공단	국민의료보험관리공단/NNP
국민추모음악회추진위	국민추모음악회추진위/NNP
국제경제협력개발기구	국제경제협력개발기구/NNP
국제방사선방호위원회	국제방사선방호위원회/NNP
국제비즈니스연구센터	국제비즈니스연구센터/NNP
국제소형판화비엔날레	국제소형판화비엔날레/NNP
국제자유평화여성연맹	국제자유평화여성연맹/NNP
국제전기통신위성기구	국제전기통신위성기구/NNP
금융정보망비상대책위	금융정보망비상대책위/NNP
기독교대학설립동역회	기독교대학설립동역회/NNP
기독교사회문제연구원	기독교사회문제연구원/NNP
기독교여성평화연구원	기독교여성평화연구원/NNP
기반기술연구촉진센터	기반기술연구촉진센터/NNP
기업구매자금대출제도	기업구매자금대출제도/NNP
기업구조조정투자회사	기업구조조정투자회사/NNP
기초생활보장수급대상	기초생활보장수급대상/NNP
난계국악기체험전수관	난계국악기체험전수관/NNP
남북핵통제공동위원회	남북핵통제공동위원회/NNG
납세자소비자권리재단	납세자소비자권리재단/NNP
노동문화정책정보센터	노동문화정책정보센터/NNP
농촌지도자중앙연합회	농촌지도자중앙연합회/NNP
다우존스산업평균지수	다우존스산업평균지수/NNP
단기공사채형수익증권	단기공사채형수익증권/NNP
담양세계대나무박람회	담양세계대나무박람회/NNP
담양세계대나무엑스포	담양세계대나무엑스포/NNP
대구문화산업지원센터	대구문화산업지원센터/NNP
대구하계유니버시아드	대구하계유니버시아드/NNP
대구효성카톨릭대학교	대구효성카톨릭대학교/NNP
대인지뢰사용금지협정	대인지뢰사용금지협정/NNP
대통령경제수석비서관	대통령경제수석비서관/NNP
대통령선거대책위원회	대통령선거대책위원회/NNP
대학종합평가인정제도	대학종합평가인정제도/NNP
대한무역투자진흥공사	대한무역투자진흥공사/NNP
대한여자기독교청년회	대한여자기독교청년회/NNP
대한전몰군경미망인회	대한전몰군경미망인회/NNP
대한주택건설사업협회	대한주택건설사업협회/NNP
대한지역사회영양학회	대한지역사회영양학회/NNP
독립동티모르혁명전선	독립동티모르혁명전선/NNP
동경여자고등사범학교	동경여자고등사범학교/NNP
동계유니버시아드대회	동계유니버시아드대회/NNP
동부지역보건의료인회	동부지역보건의료인회/NNP
동아시아문학사비교론	동아시아문학사비교론/NNP
동아주택할부금융사장	동아주택할부금융사장/NNG
디지털감산혈관조영술	디지털감산혈관조영술/NNP
디지털이동전화시스템	디지털이동전화시스템/NNP
디지털커뮤니케이션사	디지털커뮤니케이션사/NNP
딱다그르르딱다그르르	딱다그르르딱다그르르/XR
떡더그르르떡더그르르	떡더그르르떡더그르르/XR
라오민족해방전선연합	라오민족해방전선연합/NNP
라오스인민민주공화국	라오스인민민주공화국/NNP
레이저디스크플레이어	레이저디스크플레이어/NNG
레이크사이드여자오픈	레이크사이드여자오픈/NNP
마이다스에셋자산운용	마이다스에셋자산운용/NNP
마이크로소프트코리아	마이크로소프트코리아/NNP
매스커스터마이제이션	매스커스터마이제이션/NNG
메리트커뮤니케이션스	메리트커뮤니케이션스/NNP
무면허의약품판매행위	무면허의약품판매행위/NNP
문학동네어린이문학상	문학동네어린이문학상/NNP
미국산업별노조평의회	미국산업별노조평의회/NNP
미국여자프로골프협회	미국여자프로골프협회/NNP
미스유니버스주식회사	미스유니버스주식회사/NNP
미주한인회총연합회장	미주한인회총연합회장/NNP
미즈노배전국골프대회	미즈노배전국골프대회/NNP
민족공동행사추진본부	민족공동행사추진본부/NNP
민족문화추진위원회장	민족문화추진위원회장/NNP
민족민중미술운동연합	민족민중미술운동연합/NNP
민주언론운동시민연합	민주언론운동시민연합/NNP
민주주의민족전선세력	민주주의민족전선세력/NNP
민주주의민족전선운동	민주주의민족전선운동/NNP
민주통일민중운동연합	민주통일민중운동연합/NNP
민주평화통일자문회의	민주평화통일자문회의/NNP
민주화운동기념사업회	민주화운동기념사업회/NNP
바보멍청이게으름쟁이	바보멍청이게으름쟁이/NNP
바지저고리조끼마고자	바지저고리조끼마고자/NNP
반공표어포스터글짓기	반공표어포스터글짓기/NNP
반박정희군사독재투쟁	반박정희군사독재투쟁/NNP
범부안군민대책위원회	범부안군민대책위원회/NNP
베데스다장애인선교회	베데스다장애인선교회/NNP
병역비리근절운동본부	병역비리근절운동본부/NNP
부동산투자분석사협회	부동산투자분석사협회/NNP
부랑인복지시설연합회	부랑인복지시설연합회/NNP
부산국제아트페스티벌	부산국제아트페스티벌/NNP
부산심장병환아상담소	부산심장병환아상담소/NNP
부산아시아드주경기장	부산아시아드주경기장/NNP
부산지방중소기업청장	부산지방중소기업청장/NNP
부실채권정리기금채권	부실채권정리기금채권/NNP
부활절연합예배위원회	부활절연합예배위원회/NNP
북조선임시인민위원회	북조선임시인민위원회/NNP
북한국가안전보위부원	북한국가안전보위부원/NNP
북한김정일국방위원장	북한김정일국방위원장/NNP
북한올림픽조직위원장	북한올림픽조직위원장/NNP
불법임의조제처벌규정	불법임의조제처벌규정/NNP
브라운디어파크골프장	브라운디어파크골프장/NNP
비영리민간단체지원법	비영리민간단체지원법/NNP
비은행금융기관예치금	비은행금융기관예치금/NNP
사이타마월드컵경기장	사이타마월드컵경기장/NNP
사회민주주의청년연맹	사회민주주의청년연맹/NNP
사회발전시스템연구소	사회발전시스템연구소/NNP
산업평화실무대책회의	산업평화실무대책회의/NNP
산타체칠리아아카데미	산타체칠리아아카데미/NNP
삼군사관학교체육대회	삼군사관학교체육대회/NNP
상가건물임대차보호법	상가건물임대차보호법/NNP
상반운동반복수행장애	상반운동반복수행장애/NNP
상수도수질감시위원장	상수도수질감시위원장/NNP
상업어음할인제도개선	상업어음할인제도개선/NNP
샌디에이고동물원재단	샌디에이고동물원재단/NNP
서울국제청소년영화제	서울국제청소년영화제/NNP
서울기계공업고등학교	서울기계공업고등학교/NNP
서울다큐멘터리영상제	서울다큐멘터리영상제/NNP
서울대농대연습림보고	서울대농대연습림보고/NNP
서울시립국악관현악단	서울시립국악관현악단/NNP
서울시립청소년사업관	서울시립청소년사업관/NNP
서울여자기독교청년회	서울여자기독교청년회/NNP
서울외곽순환고속도로	서울외곽순환고속도로/NNP
서울울트라마라톤대회	서울울트라마라톤대회/NNP
서울청소년지도육성회	서울청소년지도육성회/NNP
서울출입국관리사무소	서울출입국관리사무소/NNP
서울택시운송사업조합	서울택시운송사업조합/NNP
서초강남교육시민모임	서초강남교육시민모임/NNP
선거보도감시연대회의	선거보도감시연대회의/NNP
세계기독교교회협의회	세계기독교교회협의회/NNP
세계클레이선수권대회	세계클레이선수권대회/NNP
세포유전자치료연구소	세포유전자치료연구소/NNP
소비자보호단체협의회	소비자보호단체협의회/NNP
수가구조개편위원회측	수가구조개편위원회측/NNP
수도권공동대책위원회	수도권공동대책위원회/NNP
순례자들필그림파더스	순례자들필그림파더스/NNP
스트라스클라이드대학	스트라스클라이드대학/NNP
스트랫퍼드어폰에이번	스트랫퍼드어폰에이번/NNP
스피드스케이팅월드컵	스피드스케이팅월드컵/NNP
시민사회단체연대회의	시민사회단체연대회의/NNP
시설물안전관리특별법	시설물안전관리특별법/NNP
시즈오카월드컵경기장	시즈오카월드컵경기장/NNP
시티코프캐피털코리아	시티코프캐피털코리아/NNP
신간표제공자가어구해	신간표제공자가어구해/NNG
신문발행부수공사제도	신문발행부수공사제도/NNP
신분체계정치경제구조	신분체계정치경제구조/NNP
실버이야기지도사과정	실버이야기지도사과정/NNP
실종자가족대책위원회	실종자가족대책위원회/NNP
아미노그라이코사이드	아미노그라이코사이드/NNG
아세아여성신학교육원	아세아여성신학교육원/NNP
아세틸코린에스테라제	아세틸코린에스테라제/NNG
아시아여성신학교육원	아시아여성신학교육원/NNP
아시아여성인권위원회	아시아여성인권위원회/NNP
아시아유도선수권대회	아시아유도선수권대회/NNP
아시아정치경제연구소	아시아정치경제연구소/NNP
아시아종교인평화회의	아시아종교인평화회의/NNP
아시안게임조직위원회	아시안게임조직위원회/NNP
아시안월스트리트저널	아시안월스트리트저널/NNP
아이스하키선수권대회	아이스하키선수권대회/NNP
안산외국인노동자센터	안산외국인노동자센터/NNP
안전생활실천시민연합	안전생활실천시민연합/NNP
안철수바이러스연구소	안철수바이러스연구소/NNP
안티피라미드운동본부	안티피라미드운동본부/NNP
약사법개정추진위원회	약사법개정추진위원회/NNP
어린이의약품지원본부	어린이의약품지원본부/NNP
어음교환차액결제시각	어음교환차액결제시각/NNP
어음교환차액결제시점	어음교환차액결제시점/NNP
여객자동차운수사업법	여객자동차운수사업법/NNP
여대생커리어개발센터	여대생커리어개발센터/NNP
여성생명과학기술포럼	여성생명과학기술포럼/NNP
열린문화운동시민연합	열린문화운동시민연합/NNP
영남노동운동연구소장	영남노동운동연구소장/NNG
요코하마월드컵경기장	요코하마월드컵경기장/NNP
용도지역변경결정취소	용도지역변경결정취소/NNP
우우우우우아아아아아	우우우우우아아아아아/IC
울산기독교교회협의회	울산기독교교회협의회/NNP
원광장애인종합복지관	원광장애인종합복지관/NNP
원불교사회개벽교무단	원불교사회개벽교무단/NNP
원상복직서명추진위원	원상복직서명추진위원/NNP
원숭이에이즈바이러스	원숭이에이즈바이러스/NNP
월스트리트컨설팅그룹	월스트리트컨설팅그룹/NNP
위헌법률심판제청신청	위헌법률심판제청신청/NNP
유가발행부수공사제도	유가발행부수공사제도/NNP
유엔난민고등판무관실	유엔난민고등판무관실/NNP
육군중앙유해감식센터	육군중앙유해감식센터/NNP
의료분쟁조정메커니즘	의료분쟁조정메커니즘/NNP
의료사고배상책임보험	의료사고배상책임보험/NNP
의문사진상규명위원회	의문사진상규명위원회/NNP
의약품실거래가상환제	의약품실거래가상환제/NNP
이슬람혁명최고평의회	이슬람혁명최고평의회/NNP
이승만박사기념사업회	이승만박사기념사업회/NNP
이자지급식장기국공채	이자지급식장기국공채/NNP
이화여자대학교출판부	이화여자대학교출판부/NNP
인도차이나식민지연맹	인도차이나식민지연맹/NNP
인디애나폴리스콩쿠르	인디애나폴리스콩쿠르/NNP
일본노동조합총연합회	일본노동조합총연합회/NNG
일본여자프로골프협회	일본여자프로골프협회/NNG
일본월드컵조직위원회	일본월드컵조직위원회/NNP
